Unique_ID,Planting_Year,Year,Yard_Age,Variety,Variety_Susceptibility,FS_Binary,Pruning_Type,Mech_Prune,Pruning_Quality,Poor_Prune,Suscept_Binary,Flagshoots,Second_Year
84,2014,2016,2,SorachiAce,3,0,Chemical,1,3,1,1,0,0
85,2014,2016,2,Cascade,1,0,Mechanic,0,4,1,0,0,0
86,2016,2017,1,HHA102,2,0,Chemical,1,2,0,1,0,1
87,2010,2017,7,Mt.Hood,2,0,Mow_chem,1,1,0,1,0,0
88,1984,2017,33,Nugget,4,0,Chemical,1,2,0,1,0,0
89,2014,2014,0,Willamette,3,0,Chemical,1,1,0,1,0,0
90,2013,2014,1,Cascade,1,0,Chemical,1,3,1,0,0,1
91,NA,2014,NA,Crystal,0,0,Chemical,1,1,0,0,0,0
92,2014,2014,0,Willamette,3,0,Chemical,1,1,0,1,0,0
93,2013,2014,1,Fuggle,1,0,Mechanic,0,3,1,0,0,1
94,1993,2014,21,Nugget,4,0,Chemical,1,2,0,1,0,0
95,NA,2014,NA,Crystal,0,0,Chemical,1,1,0,0,0,0
96,1993,2014,21,Nugget,4,0,Chemical,1,2,0,1,0,0
97,2014,2015,1,Crystal,0,0,Mechanic,0,1,0,0,0,1
98,1993,2015,22,Nugget,4,0,Chemical,1,2,0,1,0,0
99,NA,2015,NA,Crystal,0,0,Chemical,1,5,1,0,0,0
100,NA,2015,NA,Crystal,0,0,Chemical,1,2,0,0,0,0
101,2014,2015,1,Magnum,4,0,Notprune,1,5,1,1,0,1
102,2014,2015,1,Tettnang,3,0,Notprune,1,5,1,1,0,1
103,2006,2015,9,Nugget,4,0,Chemical,1,3,1,1,0,0
104,2015,2015,0,Crystal,0,0,Mow_chem,1,5,1,0,0,0
105,2013,2015,2,Cascade,1,0,Mow_chem,1,4,1,0,0,0
106,2011,2015,4,Magnum,4,0,Mow_chem,1,5,1,1,0,0
107,2006,2015,9,Nugget,4,0,Mechanic,0,3,1,1,0,0
108,1993,2015,22,Nugget,4,0,Mow_chem,1,1,0,1,0,0
109,2006,2015,9,Nugget,4,0,Mechanic,0,2,0,1,0,0
110,2016,2016,0,Golding,4,0,Chemical,1,5,1,1,0,0
111,2013,2016,3,Chinook,4,0,Chemical,1,4,1,1,0,0
112,2011,2016,5,Columbia,2,0,Chemical,1,5,1,1,0,0
113,2011,2016,5,Tettnang,3,0,Chemical,1,5,1,1,0,0
114,2011,2016,5,Saaz,3,0,Chemical,1,5,1,1,0,0
115,2007,2016,9,Cascade,1,0,Chemical,1,5,1,0,0,0
